fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc
1,2227,1826,557,24,0.6678635547576302,0.6012269938650306,0.4495412844036697,0.5144356955380578,0.6563512324423826,0.6720792400746936
2,2227,1826,557,3,0.5978456014362658,0.4690265486725664,0.2442396313364055,0.3212121212121212,0.5611493234473486,0.5813567362428842
3,2227,1802,557,15,0.5906642728904847,0.464968152866242,0.336405529953917,0.3903743315508021,0.574424547916997,0.5740580103008945
4,2227,1828,557,8,0.5565529622980251,0.3986486486486486,0.271889400921659,0.3232876712328767,0.5350639034415562,0.5027514231499051
5,2228,1818,556,17,0.5701438848920863,0.4166666666666667,0.2534562211981567,0.3151862464183381,0.541741002493307,0.5326454875412912
